token_id,fold
1121565_7_16,1
1121565_7_19,1
1121565_8_1,7
1121565_8_4,1
1121565_8_6,2
1121565_8_7,6
1121565_8_8,4
1121565_8_10,2
1121565_8_12,2
1121565_9_2,6
1121565_9_6,4
1121565_9_10,2
1121565_9_12,7
1121565_9_14,2
1121565_9_18,2
1121565_9_19,9
1121565_9_23,3
1121565_9_26,7
1121565_9_27,5
1121565_9_31,6
1121565_9_32,1
1121565_9_36,2
1121565_10_6,8
1121565_10_9,3
1121565_10_16,4
1121565_10_20,1
1121565_10_21,8
1121565_11_2,3
1121565_11_5,6
1121565_11_8,0
1121565_11_9,5
1121565_11_12,2
1121565_11_14,8
1121565_11_16,4
1121565_11_20,8
1121565_11_21,2
1121565_11_22,0
1121565_11_24,2
1121565_11_25,2
1121565_12_2,1
1121565_12_5,6
1121565_12_8,6
1121565_12_9,6
1121565_12_11,4
1121565_12_12,0
1121565_12_14,0
1121565_12_17,1
1121565_13_1,8
1121565_13_4,3
1121565_13_7,4
1121565_13_8,3
121083_1_3,7
121083_1_6,0
121083_1_8,3
121083_1_12,7
121083_1_13,5
121083_1_17,6
121083_1_20,7
121083_1_22,8
121083_1_23,6
121083_2_1,7
121083_2_3,4
121083_2_5,5
121083_2_7,5
121083_2_9,5
121083_2_13,3
121083_2_14,7
121083_2_17,3
121083_2_18,6
121083_3_3,2
121083_3_5,8
121083_3_11,1
121083_3_12,3
121083_3_14,2
121083_3_16,8
121083_3_17,6
121083_3_19,7
121083_3_20,0
121083_3_23,0
121083_3_26,2
121083_3_27,0
121083_4_3,7
121083_4_4,3
121083_4_6,8
121083_4_8,9
121083_4_11,2
121083_4_13,6
121083_4_16,1
121083_4_17,3
121083_5_2,3
121083_5_5,8
121083_5_10,9
121083_5_11,4
121083_5_12,2
121083_5_14,8
121083_5_16,7
121083_5_17,2
121083_5_19,4
121083_6_2,6
121083_6_4,0
121083_6_7,0
121083_6_9,3
121083_6_10,4
121083_6_12,3
121083_6_14,3
121083_6_19,0
121083_6_24,6
121083_6_26,6
121083_7_2,1
121083_7_3,7
121083_7_4,2
121083_7_6,4
121083_7_9,2
121083_7_10,9
121083_7_14,5
121083_7_16,7
121083_7_17,7
121083_7_19,3
121083_7_23,8
1431701_1_2,2
1431701_1_3,3
1431701_1_4,9
1431701_1_7,7
1431701_1_8,6
1431701_1_11,6
1431701_1_15,2
1431701_1_18,0
1431701_1_19,8
1431701_1_22,0
1431701_1_25,4
1431701_1_29,2
1431701_2_2,7
1431701_2_5,9
1431701_2_6,8
1431701_2_7,5
1431701_2_10,4
1431701_2_12,0
1431701_2_15,4
1431701_2_16,6
1431701_2_18,5
1431701_2_19,7
1431701_2_23,9
1431701_2_25,2
1431701_2_27,6
1431701_2_29,7
1431701_2_31,1
1431701_2_33,1
1431701_2_35,1
1431701_2_37,4
1431701_2_39,5
1431701_3_3,1
1431701_3_6,2
1431701_3_9,2
1431701_3_11,9
1431701_3_12,9
1431701_3_15,8
1431701_3_22,9
1431701_3_23,3
1431701_3_24,2
1431701_3_28,7
1431701_3_30,6
1431701_3_31,5
1431701_3_33,5
1431701_3_35,4
1431701_3_36,3
1431701_3_37,9
1431701_3_39,2
1431701_4_3,8
1431701_4_6,5
1431701_4_8,1
1431701_4_9,8
1431701_4_11,3
1431701_4_13,2
1431701_4_17,8
1431701_4_19,4
1431701_4_20,3
1431701_4_22,5
1431701_4_24,4
1431701_4_25,1
1431701_4_27,1
1431701_4_28,1
1431701_4_31,7
1431701_5_3,2
1431701_5_9,9
1431701_5_11,2
1431701_5_12,3
1431701_5_14,4
1431701_6_5,3
1431701_6_8,7
1431701_6_15,4
1431701_6_17,2
1431701_6_18,1
1431701_6_22,2
1431701_6_24,4
1431701_6_25,5
1431701_6_27,0
1431701_6_34,2
1431701_6_37,0
1431701_6_38,1
1431701_6_41,4
1431701_6_42,6
1431701_7_6,1
1431701_7_8,4
1431701_8_2,8
1431701_8_3,3
1431701_8_5,1
1431701_8_6,7
1431701_8_7,4
1431701_8_10,1
1431701_8_13,3
1431701_8_14,8
1431701_9_2,9
1431701_9_5,2
1431701_9_8,5
1431701_9_9,2
1431701_9_16,1
1431701_9_18,9
1431701_9_19,8
1431701_9_21,9
1431701_9_22,9
1431701_9_26,3
1431701_9_30,0
1431701_9_31,3
1431701_9_34,5
1431701_9_37,5
1431701_9_43,7
1431701_9_45,5
1431701_9_47,6
1431701_9_52,4
1431701_9_54,3
1431701_9_56,5
1431701_9_58,0
1431701_9_60,5
1431701_9_62,9
1431701_9_63,7
1431701_9_65,0
1431701_9_66,2
1431701_10_2,4
1431701_10_3,2
1431701_10_4,2
1431701_10_6,3
1431701_10_10,3
1431701_10_13,1
1431701_10_15,8
1431701_10_17,9
1431701_10_18,2
1431701_10_19,9
1431701_10_25,5
1431701_10_28,6
1431701_10_35,7
1431701_10_37,1
1431701_10_40,3
1431701_10_42,6
1431701_11_1,5
1431701_11_5,8
1431701_11_8,1
1431701_11_9,6
1431701_11_10,8
1431701_11_12,3
1431701_11_15,2
1431701_11_16,8
1431701_11_19,0
1431701_11_21,9
1431701_12_4,0
1431701_12_8,8
1431701_12_13,6
1431701_12_14,0
1431701_12_16,8
1431701_12_17,1
1431701_12_20,7
1431701_12_22,7
1431701_12_24,1
1431701_12_25,8
1431701_12_28,5
1431701_12_33,6
1431701_12_34,5
1431701_12_35,3
1431701_12_40,1
1431701_12_41,1
1431701_12_43,5
1431701_12_44,7
1431701_12_45,5
1431701_12_47,3
1431701_12_49,5
1431701_12_51,7
1473557_1_2,3
1473557_1_3,6
1473557_1_6,4
1473557_1_10,8
1473557_1_13,1
1473557_1_16,9
1473557_1_17,1
1473557_1_20,8
1473557_1_21,5
1473557_1_23,8
1473557_1_24,6
1473557_2_1,6
1473557_2_3,4
1473557_2_4,0
1473557_2_9,3
1473557_2_10,7
1473557_2_13,9
1473557_2_14,3
1473557_2_15,9
1473557_2_17,7
1473557_2_19,7
1473557_3_2,6
1473557_3_4,7
1473557_3_5,3
1473557_3_8,6
1473557_3_11,6
1473557_3_12,1
1473557_3_13,5
1473557_3_16,2
1473557_3_17,3
1473557_3_18,2
1473557_3_20,9
1473557_3_21,9
1473557_4_2,3
1473557_4_6,0
1473557_4_9,4
1473557_4_11,8
1473557_4_14,0
1473557_4_15,6
1473557_4_16,8
1473557_5_2,7
1473557_5_3,1
1473557_5_5,5
1473557_5_7,2
1473557_5_10,1
1473557_5_14,5
1473557_5_18,6
1473557_5_19,9
1473557_6_2,3
1473557_6_5,1
1473557_6_6,7
1473557_6_9,8
1473557_6_13,5
1473557_6_16,4
1473557_6_19,9
1473557_6_20,5
1473557_6_22,9
1473557_6_25,2
1473557_6_28,2
1473557_6_32,9
1473557_6_33,7
1473557_6_36,9
1473557_6_39,3
1473557_6_41,2
1473557_7_1,4
1473557_7_4,5
1473557_7_6,7
1473557_7_9,7
1473557_7_11,2
1473557_7_17,3
1473557_7_19,8
1473557_7_20,2
1473557_7_22,4
1473557_8_1,8
1473557_8_3,6
1473557_8_6,1
1473557_8_9,8
1473557_8_13,8
1473557_8_14,4
1473557_8_18,5
1473557_8_19,2
1473557_8_20,4
1473557_8_22,9
1473557_9_3,1
1473557_9_4,3
1473557_9_6,7
1473557_9_7,5
1473557_9_8,9
1473557_9_13,1
1473557_9_15,3
1473557_9_18,2
1473557_9_19,3
1473557_9_22,9
1473557_9_24,6
1473557_9_30,2
1473557_9_31,5
1473557_9_33,5
1473557_9_36,9
1473557_9_39,8
1473557_9_42,3
1473557_9_46,2
1473557_9_48,8
1473557_9_50,8
1473557_10_1,3
1473557_10_3,2
1473557_10_6,2
1473557_10_7,0
1473557_10_10,4
1473557_10_12,9
1473557_10_14,3
1473557_10_16,6
1473557_10_17,4
1473557_10_20,9
1473557_10_22,5
1473557_10_24,0
1473557_10_26,4
1473557_10_28,2
1473557_10_30,5
1473557_10_32,8
1473557_10_34,4
1473557_11_1,9
1473557_11_4,6
1473557_11_6,2
1473557_11_7,7
1473557_11_10,0
1473557_11_12,0
1473557_11_15,3
1473557_11_17,0
1473557_11_22,5
1473557_11_25,7
1473557_11_28,0
1473557_12_3,5
1473557_12_8,8
1473557_13_3,3
1473557_13_5,5
1473557_13_7,6
1473557_13_8,8
1473557_13_10,0
1473557_13_12,9
1473557_13_16,5
1473557_13_17,5
1473557_13_20,6
1473557_13_22,6
1473557_13_23,5
1473557_13_25,6
1473557_13_27,0
1473557_13_29,5
1473557_13_31,8
1473557_13_35,7
1473557_13_38,6
1473557_13_40,8
1473557_13_43,6
1473557_13_44,8
1473557_13_46,1
1473557_13_47,2
1473557_13_50,1
1473557_13_52,1
1473557_13_55,6
1473557_13_56,3
1473557_13_58,2
1473557_13_59,4
1473557_13_62,2
1473557_13_64,4
1473557_13_65,3
1473557_13_69,0
1473557_13_73,1
1473557_13_74,7
1473557_13_80,1
1634103_1_3,8
1634103_1_6,8
1634103_1_8,4
1634103_1_11,4
1634103_1_14,9
1634103_1_15,6
1634103_1_17,4
1634103_1_18,3
1634103_1_19,1
1634103_1_21,0
1634103_1_23,5
1634103_1_26,7
1634103_1_27,0
1634103_2_2,6
1634103_2_8,6
1634103_2_9,3
1634103_2_12,6
1634103_2_13,0
1634103_3_2,8
1634103_3_5,4
1634103_3_7,9
1634103_3_9,5
1634103_4_1,2
1634103_4_5,4
1634103_4_7,9
1634103_4_8,9
1634103_4_10,4
1634103_4_11,7
1634103_4_12,8
1634103_5_4,3
1634103_5_7,1
1634103_5_8,5
1634103_5_10,6
1634103_6_3,6
1634103_6_5,4
1634103_6_6,8
1634103_6_7,2
1634103_6_12,4
1634103_6_15,8
1634103_6_16,8
1634103_6_18,4
1634103_7_1,7
1634103_7_4,6
1634103_7_6,8
1634103_8_1,0
1634103_8_6,7
1634103_8_8,2
1634103_8_10,3
1634103_8_11,5
1634103_8_12,6
1634103_8_14,4
1634103_8_15,8
1634103_8_16,9
1634103_9_1,8
1634103_9_3,9
1634103_9_4,0
1634103_9_6,5
1634103_9_7,6
1634103_9_9,6
1634103_9_13,2
1634103_9_16,7
1634103_9_19,3
1634103_9_21,8
1634103_9_22,2
1634103_9_24,1
1634103_9_26,4
1634103_9_27,1
1634103_10_1,5
1634103_10_5,5
1634103_10_8,8
1634103_10_9,2
1634103_10_13,4
1634103_10_15,1
1634103_10_16,1
1634103_10_17,7
1634103_10_20,2
1634103_10_23,5
1634103_10_24,1
1634103_10_27,7
1634103_10_28,3
1634103_11_4,9
1634103_11_8,4
1634103_11_9,9
1634103_11_10,4
1634103_11_13,2
1634103_11_16,1
1634103_11_22,1
1634103_11_24,5
1634103_11_26,0
1634103_11_27,1
1634103_11_33,4
1634103_11_34,8
1634103_12_2,7
1634103_12_4,7
1634103_12_8,0
1634103_12_9,3
1634103_12_10,6
1634103_12_12,5
1634103_13_2,1
1634103_13_5,3
1634103_13_8,0
1634103_13_13,9
1634103_13_17,1
1634103_14_2,8
1634103_14_4,3
1634103_14_6,0
1634103_14_7,2
1634103_14_9,2
1634103_14_13,3
1634103_15_4,5
1634103_15_5,4
1634103_15_8,8
1634103_15_9,8
1634103_15_11,1
1634103_15_14,6
1634103_15_17,9
1634103_15_18,7
1634103_15_21,1
1743888_1_4,2
1743888_1_8,9
1743888_1_10,6
1743888_1_11,1
1743888_1_12,0
1743888_1_14,9
1743888_1_15,4
1743888_1_16,4
1743888_1_17,5
1743888_1_20,6
1743888_1_21,2
1743888_1_23,8
1743888_1_24,7
1743888_2_2,6
1743888_2_5,4
1743888_2_7,9
1743888_2_9,4
1743888_2_10,0
1743888_2_11,4
1743888_2_12,2
1743888_2_13,0
1743888_2_16,7
1743888_2_17,5
1743888_3_1,8
1743888_3_4,5
1743888_3_6,7
1743888_3_7,6
1743888_3_8,1
1743888_3_10,8
1743888_3_14,3
1743888_3_15,8
1743888_3_18,3
1743888_3_22,9
1743888_3_24,4
1743888_3_27,1
1743888_3_28,7
1743888_4_2,2
1743888_4_5,4
1743888_4_6,1
1743888_4_8,1
1743888_4_9,3
1743888_5_2,7
1743888_5_7,2
1743888_5_8,0
1743888_5_11,8
1743888_5_15,5
1743888_5_16,4
1743888_5_19,6
1743888_5_20,9
1743888_5_21,4
1743888_6_1,3
1743888_6_4,1
1743888_6_5,0
1743888_6_8,7
1743888_6_9,4
1743888_6_12,2
1743888_6_14,2
1743888_6_15,3
1743888_6_17,8
1743888_6_20,4
1743888_6_21,6
1743888_6_23,3
1743888_6_25,3
1743888_6_27,8
1743888_6_29,8
1743888_7_2,7
1743888_7_3,1
1743888_7_7,4
1743888_7_9,0
1743888_7_12,2
1743888_7_13,8
1743888_7_17,8
1743888_7_18,7
1743888_7_20,6
1743888_7_21,9
1743888_8_1,6
1743888_8_4,2
1743888_8_6,1
1743888_8_8,4
1743888_8_9,1
1743888_8_11,0
1743888_8_13,3
1743888_8_16,1
1743888_9_2,9
1743888_9_4,3
1743888_9_5,8
1743888_9_7,8
1743888_9_8,8
1743888_9_12,3
1743888_9_13,2
1743888_10_2,4
1743888_10_5,5
1743888_10_8,2
1743888_10_9,1
1743888_10_10,7
1743888_10_12,8
1743888_10_13,4
1743888_11_4,3
1743888_11_5,9
1743888_11_8,1
1743888_11_13,0
1743888_11_15,4
1743888_11_17,2
1743888_12_1,8
1743888_12_4,2
1743888_12_7,1
1743888_12_8,0
1743888_12_9,7
1743888_12_11,9
1743888_13_1,1
1743888_13_4,3
1743888_13_5,1
1743888_13_7,0
1743888_13_8,0
1743888_13_12,8
1743888_13_14,4
1743888_13_16,4
1743888_14_2,3
1743888_14_3,9
1743888_14_4,6
1743888_14_8,3
1743888_14_10,2
1743888_14_12,3
1743888_14_13,5
1743888_14_15,6
1743888_14_16,6
1743888_14_18,8
1743888_14_19,9
1743888_14_20,9
1743888_15_1,9
1743888_15_3,7
1743888_15_4,5
1743888_15_5,1
1743888_15_6,5
1743888_15_7,4
1743888_16_2,8
1743888_16_5,2
1743888_16_6,1
1743888_16_7,3
1743888_16_8,3
1743888_16_9,8
1743888_16_12,6
1743888_16_13,4
1743888_16_14,7
1743888_16_18,5
1743888_16_19,2
1743888_16_21,4
1743888_16_22,4
1743888_17_2,7
1743888_17_3,0
1743888_17_4,7
1743888_17_5,5
1743888_17_8,6
1743888_17_9,2
1743888_17_11,5
1743888_17_12,8
1743888_17_17,8
1743888_17_20,7
1743888_17_21,5
1743888_18_2,0
1743888_18_6,9
1743888_18_7,9
1743888_18_11,6
1743888_18_13,1
1743888_18_14,6
1743888_18_15,3
1743888_18_17,6
1743888_18_18,3
1743888_18_19,4
1743888_18_22,0
1743888_18_25,1
1743888_18_26,9
1743888_18_29,0
1743888_18_32,9
1743888_19_5,7
1743888_19_6,1
1743888_19_7,2
1743888_19_8,4
1743888_19_9,7
1743888_19_12,5
1743888_19_13,0
1743888_19_15,2
1743888_19_17,7
1743888_20_1,0
1743888_20_2,5
1743888_20_3,6
1743888_20_4,2
1743888_20_5,5
1743888_20_6,0
1751652_1_1,8
1751652_1_2,1
1751652_1_4,8
1751652_1_5,0
1751652_1_7,0
1751652_1_10,5
1751652_1_11,4
1751652_1_14,4
1751652_1_17,4
1751652_1_18,9
1751652_1_19,8
1751652_1_22,9
1751652_2_2,8
1751652_2_4,6
1751652_2_7,7
1751652_2_9,0
1751652_2_10,9
1751652_2_11,6
1751652_2_13,6
1751652_2_15,2
1751652_3_2,2
1751652_3_4,4
1751652_3_6,6
1751652_3_8,7
1751652_3_10,8
1751652_3_11,7
1751652_3_14,6
1751652_3_16,6
1751652_3_19,3
1751652_3_22,7
1751652_3_24,5
1751652_4_2,0
1751652_4_3,8
1751652_4_5,2
1751652_4_8,1
1751652_4_10,0
1751652_4_12,5
1751652_4_14,2
1751652_4_17,8
1751652_5_1,8
1751652_5_4,6
1751652_5_5,7
1751652_5_8,4
1751652_6_2,0
1751652_6_3,6
1751652_6_5,6
1751652_6_6,7
1751652_6_8,9
1751652_6_11,1
1751652_7_4,7
1751652_7_7,6
1751652_7_11,3
1751652_7_12,1
1751652_7_14,6
1751652_7_17,3
1751652_7_19,7
1751652_7_22,7
1751652_7_24,1
1751652_8_2,3
1751652_8_5,4
1751652_8_7,3
1751652_8_10,8
1751652_8_12,8
1751652_8_15,3
1751652_9_3,4
1751652_9_5,7
1751652_9_7,0
1751652_9_9,5
1751652_9_12,1
1751652_9_14,5
1751652_10_2,6
1751652_10_5,8
1751652_10_8,1
1751652_10_11,8
1751652_10_15,8
1751652_10_19,6
1751652_10_20,9
1751652_10_21,0
1751652_11_3,6
1751652_11_4,2
1751652_11_7,7
1751652_11_11,0
1751652_11_16,0
1751652_11_18,5
1751652_11_22,1
1751652_11_23,1
1751652_12_2,8
1751652_12_3,8
1751652_12_5,9
1751652_12_7,8
1751652_12_9,4
1751652_12_10,9
1751652_12_12,4
1751652_13_3,3
1751652_13_4,0
1751652_13_5,2
1751652_13_6,4
1751652_13_12,5
1751652_13_17,0
1751652_13_18,2
1751652_13_20,8
1751652_14_2,8
1751652_14_5,2
1751652_14_8,5
1751652_14_10,8
1751652_14_12,5
1751652_14_15,2
1751652_14_18,3
1751652_14_19,2
1751652_14_20,2
1751652_14_22,2
1751652_15_3,9
1751652_15_6,2
1751652_15_8,0
1751652_15_10,1
1751652_15_12,8
1751652_16_2,6
1751652_16_4,5
1751652_16_6,9
1751652_16_7,7
1751652_16_8,8
1751652_16_9,7
1751652_16_12,1
1751652_16_15,4
1751652_16_17,9
1751652_16_20,6
1751652_16_23,6
1751652_17_2,6
1751652_17_3,5
1751652_17_5,0
1751652_17_7,7
1751652_17_8,4
1751652_17_10,3
1751652_17_11,8
1751652_17_12,8
1751652_17_13,4
1751652_17_15,3
1751652_17_17,1
1751652_17_18,5
1751652_17_21,0
1751652_18_2,3
1751652_18_7,4
1751652_18_8,1
1751652_18_10,6
1751652_18_11,5
1816949_1_2,0
1816949_1_3,4
1816949_1_4,7
1816949_1_6,6
1816949_1_7,5
1816949_1_8,5
1816949_1_9,1
1816949_1_12,5
1816949_1_15,1
1816949_1_16,7
1816949_1_20,5
1816949_1_24,0
1816949_2_1,6
1816949_2_3,1
1816949_2_5,1
1816949_2_9,7
1816949_2_10,5
1816949_2_14,6
1816949_3_2,6
1816949_3_3,7
1816949_3_5,0
1816949_3_7,1
1816949_3_8,1
1816949_3_11,3
1816949_3_13,3
1816949_3_18,6
1816949_3_20,5
1816949_3_22,2
1816949_3_25,0
1816949_3_28,4
1816949_3_29,2
1816949_3_32,0
1816949_3_34,0
1816949_3_36,4
1816949_3_39,5
1816949_4_1,4
1816949_4_4,2
1816949_4_6,5
1816949_4_9,9
1816949_4_10,0
1816949_4_15,5
1816949_4_17,7
1816949_4_18,3
1816949_4_20,2
1816949_4_21,8
1816949_5_1,7
1816949_5_2,7
1816949_5_4,5
1816949_5_5,6
1816949_5_6,0
1816949_5_10,0
1816949_5_11,9
1816949_6_4,4
1816949_6_7,1
1816949_7_5,8
1816949_7_7,6
1816949_7_10,9
1816949_7_14,9
1816949_7_21,5
1816949_7_24,2
1816949_7_26,3
1816949_8_2,4
1816949_8_4,9
1816949_8_6,2
1816949_8_7,9
1816949_8_8,4
1816949_9_2,9
1816949_9_4,3
1816949_9_6,7
1816949_9_8,9
1816949_9_9,2
1816949_9_14,7
1816949_9_16,1
1816949_9_18,5
1816949_9_20,0
1816949_9_22,8
1816949_9_25,9
1816949_9_26,6
1816949_10_3,4
1816949_10_6,8
1816949_10_8,9
1816949_10_13,8
1816949_10_15,4
1816949_10_16,2
1816949_10_21,6
1816949_10_23,2
1816949_10_24,4
1816949_10_26,8
1816949_11_1,5
1816949_11_4,8
1816949_11_9,8
1816949_11_11,6
1816949_11_13,3
1816949_11_14,1
1816949_11_17,5
1816949_11_19,9
1816949_11_20,9
1816949_12_2,0
1816949_12_3,3
1816949_12_5,2
1816949_12_7,1
1816949_12_8,2
1816949_13_2,3
1816949_13_4,1
1816949_13_6,9
1816949_14_2,9
1816949_14_4,3
1816949_14_6,5
1816949_14_9,1
1816949_14_11,5
1816949_14_13,9
1816949_14_14,4
1816949_14_17,6
1816949_14_18,5
1816949_15_3,9
1816949_15_6,8
1816949_15_8,0
1816949_15_11,4
1816949_15_13,5
1816949_16_2,8
1816949_16_3,8
1816949_16_5,5
1816949_16_6,5
1816949_17_1,2
1816949_17_3,2
1816949_17_5,9
1816949_17_7,6
1816949_17_9,8
1816949_17_10,3
1816949_17_15,9
1816949_17_17,1
1816949_17_19,5
1816949_17_22,3
1816949_17_25,9
1816949_17_26,0
1816949_17_29,6
1816949_17_33,1
1816949_17_35,0
1816949_17_38,1
1816949_17_42,6
1816949_17_45,8
1816949_17_48,7
1816949_17_50,0
1816949_17_51,1
1816949_17_52,8
1816949_17_54,9
1816949_18_2,1
1816949_18_4,5
1816949_18_6,3
1816949_18_11,3
1816949_18_14,6
1816949_18_19,4
1816949_19_1,4
1816949_19_5,4
1816949_19_8,7
1816949_19_10,7
1816949_19_13,9
1816949_19_14,9
1816949_19_19,9
1816949_19_22,4
1816949_19_24,4
1816949_19_26,5
1816949_20_2,5
1816949_20_4,9
1816949_20_6,8
1816949_20_8,9
1816949_20_9,7
1816949_21_3,8
1816949_21_4,4
1816949_21_8,7
1816949_21_10,2
1816949_21_13,5
1816949_21_17,5
1816949_21_20,4
1816949_22_1,9
1816949_22_4,5
1816949_22_5,2
1816949_22_7,0
1816949_22_8,0
1816949_22_11,0
1816949_22_14,3
1816949_22_15,6
1816949_23_2,6
1816949_23_6,6
1816949_23_11,1
1816949_23_13,2
1816949_23_14,7
1816949_23_18,7
1816949_23_22,2
1816949_23_23,5
1816949_23_26,2
1816949_23_27,9
1816949_23_29,4
1816949_23_30,4
1816949_24_1,7
1816949_24_3,5
1816949_24_4,8
1816949_24_7,9
1816949_24_9,6
1816949_24_11,3
1816949_24_15,4
1816949_24_17,6
1816949_24_18,9
1816949_25_3,2
1816949_25_5,3
1816949_25_6,4
1816949_25_10,6
1816949_25_12,4
1816949_25_13,5
1816949_25_15,0
1816949_25_18,1
1816949_25_21,8
1816949_25_23,1
1816949_26_4,6
1816949_26_5,0
1816949_26_8,2
1816949_26_9,9
1816949_26_11,7
1816949_26_12,2
1816949_26_14,4
1816949_26_17,1
1816949_26_19,4
1816949_26_21,9
1816949_26_23,2
189340_1_2,2
189340_1_4,3
189340_1_6,7
189340_1_8,0
189340_1_10,8
189340_1_12,9
189340_2_2,5
189340_2_3,7
189340_2_4,2
189340_2_6,3
189340_2_7,5
189340_2_9,0
189340_2_10,8
189340_2_12,4
189340_2_13,3
189340_3_1,8
189340_3_3,9
189340_3_6,8
189340_3_9,0
189340_3_11,1
189340_3_12,9
189340_4_2,1
189340_4_5,2
189340_4_6,8
189340_4_8,1
189340_4_9,3
189340_4_12,6
189340_5_3,2
189340_5_5,7
189340_5_8,4
189340_5_11,3
189340_5_14,1
189340_5_15,6
189340_5_19,9
189340_5_20,4
189340_5_24,6
189340_5_27,4
189340_5_28,7
189340_6_4,5
189340_6_5,1
189340_6_6,7
189340_7_3,1
189340_7_6,3
189340_7_7,8
189340_7_9,2
189340_7_10,6
189340_7_11,8
189340_7_12,5
189340_7_15,3
189340_7_16,0
189340_7_18,4
189340_7_20,8
189340_7_22,2
189340_7_25,0
189340_7_26,9
189340_8_4,5
189340_8_7,3
189340_8_9,4
189340_8_12,1
189340_8_15,6
189340_9_1,5
189340_9_3,6
189340_9_4,7
189340_9_5,3
189340_9_8,7
189340_9_9,3
189340_10_2,5
189340_10_5,7
189340_10_8,8
189340_10_9,5
189340_11_1,9
189340_11_4,9
189340_11_6,4
189340_11_8,9
189340_11_11,4
189340_11_19,7
189340_11_21,5
189340_11_23,7
189340_12_1,6
189340_12_2,7
189340_12_5,8
189340_12_10,4
189340_12_13,2
189340_12_14,2
189340_12_18,7
189340_13_4,7
189340_13_8,3
189340_13_9,1
189340_14_1,9
189340_14_2,6
189340_14_3,4
189340_14_5,8
189340_14_6,8
